TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,OUTPUT 1.1.2 Digitized research object (a sample dataset of at least 40 FFPE samples processed with PPM technology),,,4,2,Arvydas (43613934),,today,en,Europe/Vilnius,,,2026-08-31,en
task,OUTPUT 1.1.3. Two peer-reviewed research articles in Clarivate Analytics,,,4,2,Arvydas (43613934),,tomorrow,en,Europe/Vilnius,,,2026-02-05,en
task,Martynas et al PPM pipepine,,,4,3,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Mantas et al RCC PPM TACS,,,4,3,Arvydas (43613934),,,,Europe/Vilnius,,,2026-02-26,en
task,OUTPUT 1. 1.4 Two oral or poster presentations in international meetings.,,,4,2,Arvydas (43613934),,tomorrow,en,Europe/Vilnius,,,2026-08-31,en
task,OUTPUT 2.1.1 One peer-reviewed research article in CA WOS journals accepted for publication (PPM-biomarkers for kidney pathology).,,,4,2,Arvydas (43613934),,in 240 days,en,Europe/Vilnius,,,2027-08-31,en
task,OUTPUT 2.1.2 Two oral or poster presentations in international meetings.,,,4,2,Arvydas (43613934),,in 604 days,en,Europe/Vilnius,,,2026-09-01,en
task,LMT PhD Melanoma Vygante,,,4,1,Danutė (43831156),Arvydas (43613934),,,Europe/Vilnius,,,,
task,SMEC Kidnex @PROJECT,"Skaitmeninės medicinos ekselencijos centras

Universitetų ekscelencijos iniciatyva",,1,1,Arvydas (43613934),Arvydas (43613934),,,Europe/Vilnius,,,,
note,"Informuojame, kad atliktas ekspertinis Jūsų pateiktos paraiškos „**Duomenų centras mašininio mokymo ir dirbtinio intelekto taikymams gyvybės mokslų ir biomodeliavimo srityse**“ vertinimas. Atsižvelgdami į paraiškos turinį bei į ekspertų išsakytas rekomendacijas, o taip pat į VU vadovų sprendimus, teikiame siūlymą FINANSUOTI Jūsų pateikto ekscelencijos centro idėją su sąlyga: apjungiant Jūsų teikta paraišką su paraiška  „Skaitmeninės medicinos ekscelencijos centras“ ir integruojant žemiau nurodytų paraiškų dalis, susijusias su centro veiklos tematika:

- paraiškos „Debesų kompiuterija paremto integruoto HPC ir kvantinių skaičiavimų duomenų centro sukūrimas: skaičiavimo infrastruktūros evoliucija“ dalis

- paraiškos “Tvarios medžiagos – tvariai aplinkai“ dalis, susijusias su dirbtinio intelekto taikymais.

Šio ekscelencijos centro (įskaitant ir siūlomus įjungti centrus) biudžetas 2023 – 2027 metams būtų iki 2,5 mln Eur. Įrangai – iki 1 mln. Eur be PVM. Dalis lėšų turi būti panaudotos 2023 m.

Minėtų paraiškų kontaktiniai asmenys:

- Skaitmeninės medicinos ekscelencijos centras – [danute.uzusieniene@mf.vu.lt](mailto:danute.uzusieniene@mf.vu.lt) (vadovas – prof. Arvydas Laurinavičius)

- Debesų kompiuterija <...>  ekscelencijos centras – [paulius.drungilas@mif.vu.lt](mailto:paulius.drungikas@mif.vu.lt) (vadovas – prof. Povilas Treigys)

-  Centras Tvarios medžiagos – tvariai aplinkai – [lina.mikoliunaite@chf.vu.lt](mailto:lina.mikoliunaite@chf.vu.lt) (vadovas – prof. Aivaras Kareiva)

Svarbi informacija: LR ŠMSM pakoregavo Ekscelencijos centrų aprašą ir patikslino sąvokas atitinkamai:

1. Pritrauktos tarptautinės lėšos – lėšos gautos iš projektų pateiktų po pažangos priemonės (ekscelencijos centrų – pastaba mano) patvirtinimo arba verslo užsakymų, sudarytų ne ankščiau nei pažangos priemonės patvirtinimo  dieną (t.y. ekscelencijos centre vystomomis temomis, o ne bendrai toje MSI)
2. Nauji tyrėjai – bent 2 metus iki projekto pradėjimo Lietuvos MSI nedirbę tyrėjai.",,,,,Arvydas (43613934),,2023-08-21T09:59:11.321744Z,,,,,,
note,"VU personalas patvirtino, kad Jarvis įdarbintas",,,,,Danutė (43831156),,2024-05-15T06:50:54.706000Z,,,,,,
note,kita sav projekto susitikimas,,,,,Arvydas (43613934),,2024-06-19T11:48:56.651000Z,,,,,,
note,"Įdarbintas Alok, suteikta prieiga prie VU e-paslaugų, Renaldas pasirūpins dėl prieigos prie VU GPU serverio.",,,,,Danutė (43831156),,2024-08-21T06:31:26.289000Z,,,,,,
note,"Supildyti prašymai/susitarimai dėl SMEC projekto dalyvių (Arvydo, Allano, Renaldo, Alok, Jarvio) perkėlimo į TSTI Skaitmeninės medicinos centrą.",,,,,Danutė (43831156),,2024-10-01T12:58:29.558000Z,,,,,,
note,Ataskaita apie atliktus darbus pateikta MIF.,,,,,Danutė (43831156),,2024-10-29T06:46:04.386000Z,,,,,,
note,"Alok kuriam laikui nedirbo ir į laiškus neatsakinėjo. Po tam tikrų parašytų laiškų Alok atrašė. Išsiaiškinta teisinė situacija, jei nuspręstume gruodžio mėnesį jam nebemokėti darbo užmokesčio. Reikia sprendimo kaip elgsimės.",,,,,Danutė (43831156),,2024-12-04T07:26:16.960000Z,,,,,,
note,Balandžio 29 d. vyks Ekscelencijos centrų priežiūros grupės susitikimas. Pateikta ataskaita kas nuveikta,,,,,Danutė (43831156),,2025-04-28T08:14:15.626000Z,,,,,,
task,VPC-VU-SK skaitmenine platforma - ADMIN,,,1,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
note,"kolkas jokiu naujienu negavau, manua vertetu jau parasyti",,,,,Renaldas (43750921),,2024-01-02T19:02:42.614000Z,,,,,,
note,"parasykit, cia apie VU GPU instaliacija?",,,,,Arvydas (43613934),,2024-01-02T19:43:09.166000Z,,,,,,
note,"VU - laba diena, ir jus su šventėm. Pirmom dienom po metų kiek buvo užklupė kiti darbai - bet šiandien grįžome prie klausimo, ir tyrėtume kitą savaitę pateikti kokius rezultatus",,,,,Renaldas (43750921),,2024-01-04T13:45:22.400000Z,,,,,,
task,SMEC ADMIN,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Parengti turinį įkėlimui į SMEC tinklapį,,,4,3,Danutė (43831156),,,,Europe/Vilnius,,,,
task,PLAN,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,HALO intaliacija VU MF GPU,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,1 publication,,,4,2,Danutė (43831156),,today,en,Europe/Vilnius,,,,
note,"Planuota šiais metais išspausdinti 1 publikaciją. Renaldas užsiminė, kad jo rankraštis koreguojamas iš esmės. Gal Jarvio publikacija jau pribrendo?",,,,,Danutė (43831156),,2025-12-03T07:30:31.659000Z,,,,,,
note,"Jarvis brandina RCC, siemet gal bus ka submittinti.",,,,,Arvydas (43613934),,2025-12-10T07:45:52.861000Z,,,,,,
task,3 publication,,,4,2,Danutė (43831156),,in 726 days,en,Europe/Vilnius,,,,
task,2 publication,,,4,2,Danutė (43831156),,in 361 days,en,Europe/Vilnius,,,,
task,PROBASE,"\bbsrv\Research\2023_PROBASE_lauar_Smailyte

\filesrv\Projects\Bioetika\12_Agne Krilaviciute_prostata

https://aperio.vpc.lt/EditRecord.php?TableName=Project&Ids%5B%5D=190",,2,1,Arvydas (43613934),,yesterday,en,Europe/Vilnius,,,,
note,"Pakoreguoti visi bioetikos dokumentai, Agnė Krilavičiūtė pritarė visoms korekcijoms, dokumentai pateikti 1) VRBTEK ir 2) VULSK KT",,,,,Danutė (43831156),,2024-07-22T11:12:51.500000Z,,,,,,
note,1-3 done,,,,,Arvydas (43613934),,2024-08-26T11:17:53.313000Z,,,,,,
note,"Gauta viena pastaba iš Vilniaus bioetikos, prašoma detalizuoti kaip duomenys ir skaitmeniniai vaizdai bus pseudonimizuojami, pasitelkiant HALO AP. Atsakymo projektas parengtas, pateiktas Renaldui peržiūrai.",,,,,Danutė (43831156),,2024-08-29T07:37:30.651000Z,,,,,,
note,"1. Gautas bioetikos leidimas. 2. Agnė prašo peržiūrėti jai pateiktos duonbazės klaidas ir jas pataisyti. Renaldai, galėtum? 3. Prašo iš anksto, dar neatlikus darbų išrašyti sąskaitą apmokėjimui (jiems svarbu panaudoti lėšas 2024 metais). Ar yra prieštaraujančių?",,,,,Danutė (43831156),,2024-09-18T08:14:41.774000Z,,,,,,
note,OK,,,,,Arvydas (43613934),,2024-09-18T09:59:29.562000Z,,,,,,
note,"Renaldai, issiuntem pataisytus duomenis?",,,,,Arvydas (43613934),,2024-10-02T05:18:22.260000Z,,,,,,
note,[Renaldas](todoist-mention://43750921),,,,,Arvydas (43613934),,2024-10-07T04:45:16.603000Z,,,,,,
note,"Agnei Krilavičiūtei pateikėme:

1)     Skaičiuoklę-komercinį pasiūlymą, parengtą pagal bioetikoje minimus skaičius

2)     Perdavimo priėmimo aktą LT/EN;

3)     Specialią užpildytą formą apie tiekėją ir jo sąskaitą",,,,,Danutė (43831156),,2024-10-16T13:02:50.242000Z,,,,,,
note,"Renaldai, Ar Agnei pateikėm pataisytus duomenis (minėjai, kad diskutavot su direktoriumi)",,,,,Danutė (43831156),,2024-10-16T13:05:13.097000Z,,,,,,
note,pateikiau ir paklausiau ar dabar gerai,,,,,Renaldas (43750921),,2024-10-18T09:32:20.048000Z,,,,,,
note,Puikiai,,,,,Danutė (43831156),,2024-10-18T09:53:01.050000Z,,,,,,
note,Duomenys atkoduoti - [nuoroda](file://Images/imagecollections/_Collections_/5_Probase_2024/anonymization/ID_1st_Batch_digitize_augren.txt).,,,,,Renaldas (43750921),,2025-07-30T06:33:37.360000Z,,,,,,
note,"*ATRANKA. Įvardinti visų prostatos biopsijos tiriamųjų atvejų numerius - planuojama skanuoti ir HE, ir IHC. (D. Dasevičius)*

*SKENAVIMAS. DEMO. Iš Bx sąrašo užsakyti ir skanuoti kaip diagnostinius 10 atvejų. Nuskanavus „uždėti tagą HaloAP“ (L.Juknienė)*

*PROCESO DOKUMENTAVIMAS. Paruošti proceso scenarijų (Renaldas ir Tadeušas)*

*ATRANKA. Iš visų prostatektomijos atvejų atrinkti po 1 daugiausiai navikinės tiriamosios medžiagos turintį mikropreparatą (D. Dasevičius)*",,,,,Danutė (43831156),,2025-08-06T06:38:36.607000Z,,,,,,
note,"kadangi HaloAP kolkas nera pasiekiama iš išorės, sukurtas projektas per aperio [https://aperio.vpc.lt/EditRecord.php?TableName=Project&Ids%5B%5D=190](https://aperio.vpc.lt/EditRecord.php?TableName=Project&Ids%5B%5D=190)

taip pat sukurtas vartotojas Agnei krilag",,,,,Renaldas (43750921),,2025-08-18T12:53:18.589000Z,,,,,,
task,6\. Select Ox - Darius,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,7\. Scan Ox - Aida.,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,**MEL-AI bioetika**,,,4,1,Danutė (43831156),jolita.jaskoniene (48808321),,,Europe/Vilnius,,,,
note,"Papildytas protokolas ""Pirminės odos melanomos prognostinis modeliavimas skaitmeninės patologijos ir DI metodais"" etapais, Jolita pateikė derinimui.",,,,,Danutė (43831156),,2025-04-15T14:38:36.026000Z,,,,,,
note,Dokumentai derinami su VULSK. Šiuo metu peržiūrimi teisininko.,,,,,jolita.jaskoniene (48808321),,2025-04-29T06:10:25.012000Z,,,,,,
note,Kokioje stadijoje?,,,,,Arvydas (43613934),,2025-07-30T06:28:33.713000Z,,,,,,
note,Vakar gavom atsakymą iš VULSK. Pateikta derinti VU. Kartu peržiūrimas preliminarus susitarimas ir derinama bendradarbiavimo sutartis.,,,,,jolita.jaskoniene (48808321),,2025-07-30T06:54:11.965000Z,,,,,,
note,2025-09-12 d. Dokumentai pateikti VRBTEK.,,,,,jolita.jaskoniene (48808321),,2025-09-19T07:16:50.000000Z,,,,,,
note,"Neaišku, kada pateikti dokumentai bus vertinami. Šiais metais suplanuotų posėdžių nebėra ir laikinai yra sustabdytas naujų tyrimų dokumentų vertinimas.

VRBTEK atsakymas po dokumentų pateikimo:
Laba diena, 

 informuojame, kad Komitetas jau yra įvertinęs visas paraiškas, kurių skaičius buvo numatytas trišalėje Biomedicininių tyrimų etinio vertinimo ir priežiūros regioniniu lygiu įgyvendinimo sutartyje.
Šiuo metu Komitetas vykdo veiklą, susijusią su anksčiau atidėtų paraiškų svarstymu, kurių nagrinėjimas buvo laikinai pristabdytas tyrėjų iniciatyva.
Atsižvelgiant į tai, **naujų biomedicininių tyrimų paraiškų registracija šiuo metu nevykdoma.**
Laukiamas oficialus atsakingų institucijų atsakymas dėl galimo sutarties keitimo.
Rekomenduojame sekti informaciją Komiteto interneto svetainėje, skiltyje „Artimiausi posėdžiai“, kur bus skelbiami visi atnaujinimai dėl paraiškų svarstymo tvarkos ir terminų.

 Gražios dienos!

 **Renata Klevienė**
Tyrimų specialistė

 Mokslo ir inovacijų skyrius

[Vilniaus regioninis biomedicininių tyrimų etikos komitetas (VRBTEK)](https://www.mf.vu.lt/mokslas/vilniaus-regioninis-biomedicininiu-tyrimu-etikos-komitetas)
M.K.Čiurlionio g. 21, LT- 03101 Vilnius
Mob. tel. +370 614 26126

Tel. +370 5 268 6998

 El. paštas: [rbtek@mf.vu.lt](mailto:rbtek@mf.vu.lt); [renata.kleviene@mf.vu.lt](mailto:renata.kleviene@mf.vu.lt)",,,,,jolita.jaskoniene (48808321),,2025-09-19T07:20:11.070000Z,,,,,,
note,Pateiktas atsakymas į 2025-11-07 gautas pastabas.,,,,,jolita.jaskoniene (48808321),,2025-11-17T11:35:47.028000Z,,,,,,
note,Leidimas gautas,,,,,jolita.jaskoniene (48808321),,2025-12-05T07:05:16.708000Z,,,,,,
task,PROBASE bioetikos papildymas,,,4,1,Danutė (43831156),Danutė (43831156),,,Europe/Vilnius,,,,
note,"1. Siekiama Probase bioetiką papildyti Giedrės Smailytės (NVI) bioetika. 2. Agnei Krilavičiūtei pateiktos pastabos. 3. Agnė pateikė komentarus, tikslinga apsitarti. Kokius tyrėjus planuojama traukti į bioetiką.",,,,,Danutė (43831156),,2025-04-15T14:55:28.065000Z,,,,,,
note,Užklausta ([giedre.smailyte@nvi.lt](mailto:giedre.smailyte@nvi.lt)) koks asmuo galėtų traukti info iš VULSK NVC ELI + kt. klausimai,,,,,Danutė (43831156),,2025-04-28T11:54:57.028000Z,,,,,,
note,"Yra papaildytas bioetikos protokolas, pakoreguotos schemos ir etapai. Jei būtų sprendimas, praplėsti bioetiką - galima būtų dokumentaciją teikti.",,,,,Danutė (43831156),,2025-07-30T05:49:53.281000Z,,,,,,
note,"reiktu uzmesti aki i duomenu rinkini. Gavus papildyma, PI kreipsis del ELI duomenu istraukimo?",,,,,Arvydas (43613934),,2025-07-30T06:21:40.805000Z,,,,,,
note,ar istraukti asmens kodus ir eli sintimo numeri?,,,,,Renaldas (43750921),,2025-07-30T06:31:54.200000Z,,,,,,
note,Iki šiol buvo sprendimas neteikti dokumentų bioetikos papildymui. Teikti būtų galima. Reikia žinoti galutinį sprendimą.,,,,,Danutė (43831156),,2025-07-30T07:01:28.329000Z,,,,,,
note,Parengti ir pateikti dokumentai VRBTEK dėl bioetikos papildymo. Dokumentams VRBTEK pritarė. Pateikti dokumentai derinami su VULSK Klinikinių tyrimų skyriumi.,,,,,Danutė (43831156),,2025-11-14T14:27:09.464000Z,,,,,,
task,Bioetikų suvestinė,\\\filesrv\Projects\Projektai\PORTFOLIO,,4,1,Danutė (43831156),Danutė (43831156),,,Europe/Vilnius,,,,
note,"Bioetikų suvestinė yra čia: \\\filesrv\Projects\Projektai\PORTFOLIO Trys bioetikos baigiasi šiais metais, aktualu aptarti kurias jų tikslinga pratęsti. Pratęsti galima tik tas bioetikos, kurių galiojimas nepasibaigęs",,,,,Danutė (43831156),,2025-08-06T06:41:03.437000Z,,,,,,
note,"1\. Suvestinėje prie bioetikų nurodomi straipsniai, kai bus pilnai užbaigta - informuosime. 2. Artimiausiu metu baigs galioti šios bioetikos: 1) Jankevičiaus 2) Marijos iš Rygos 3) Aidos/Dovilės.",,,,,Danutė (43831156),,2025-09-19T06:41:27.245000Z,,,,,,
note,Parengti visi dokumentai ir išsiųsti Jankevčiui ir kt. peržiūrai dėl bioetikos pratęsimo. Laukiu komentarų.,,,,,Danutė (43831156),,2025-09-19T06:42:48.403000Z,,,,,,
note,"Ankstesnio posėdžio metu sutarta, kad Dovilė pasirūpins dėl Aidos/Dovilės bioetikos pratęsimo.",,,,,Danutė (43831156),,2025-09-19T06:43:31.203000Z,,,,,,
note,"Bioetikų suvestinė baigta pildyti. Prie atitinkamų leidimų įtraukti straipsniai, kuriuose minima viena ar kita bioetika. Ne visada straipsniuose nurodytos korektiškos bioetikos. (yra čia: \\\filesrv\Projects\Projektai\PORTFOLIO",,,,,Danutė (43831156),,2025-09-19T07:18:00.350000Z,,,,,,
note,aciu paziuresiu,,,,,Arvydas (43613934),,2025-09-19T07:21:22.977000Z,,,,,,
note,"1. Parengti ""Jankevičiaus"" bioetikos dokumentai pratęsimui, įtraukta info, kad bus ne tik renkami prospektyvios imties duomenys, bet bus renkama ir pati imtis (gauti 75 pacientų sutikimai, galima rinkti iki 150). Pakoreguoti protokolo 7,8,11,18 punktai, kt. dok., pakoreguota PRADA. 2. Su VRBTEK suderinta, reikia teikti pasirašytus dokumentus. 3. Dokumentai nusiųsti VULSK Klinikiniams tyrimams galutiniams derinimui. 4. Bioetika baigia galioti iki 2025-10-31 d., iki tos dienos pasirašyti dok. turi pasiekti VRBTEK.",,,,,Danutė (43831156),,2025-10-13T08:11:00.186000Z,,,,,,
note,"Ačiū, Danute, ūls įspūdingas. \\\filesrv\Projects\Projektai\PORTFOLIO",,,,,Arvydas (43613934),,2025-10-14T07:56:54.940000Z,,,,,,
note,"1) Gautas ""Jankevičiaus"" bioetikos pratęsimas 2 metams (Danutė). Planuojama su VULSK ir VU teisininkais grįžti prie DI akto taikymo iki 2026-01-30 d. 2) Gautas ""Aidos""/ ""Dovilės"" bioetikos pratęsimas (Dovilė)",,,,,Danutė (43831156),,2025-11-14T14:13:48.227000Z,,,,,,
task,ONCOINTEGRA @PROJECT,,,1,1,Danutė (43831156),Arvydas (43613934),today,en,Europe/Vilnius,,,,
note,"Priminta Gagilui, kad jau dabar būtų rašomi raštai dėl projekto pratęsimo - tai leistų panaudoti suplanuotas lėšas VULSK rezidentams, kurių ne visas darbas yra gretinamas.",,,,,Danutė (43831156),,2025-12-16T15:20:11.967000Z,,,,,,
note,"VULSK turi daug problemų vykdant suminę darbo laiko apskaitą (yra atvejų, kai VULSK klinicistai/slaugytojos dirba daugiau nei 24 valandas, budi 3 paras iš eilės, o tarp tų trijų parų nėra jokio privalomo poilsio arba jis yra mažesnis nei privaloma ir yra dienų, kada per savaitę dirbama daugiau nei 60 dienų).
Kadangi IA/CPVA akcentavo, kad tomis, dienomis, kada bus pastebėti VULSK darbo laiko apskaitos pažeidimai, projekto išlaidos bus netinkamos ir gali plėsti patikros mastą, todėl imtasi šių rizikos valdymo priemonių:
1) buvo atkreiptas ŽIS vadovės dėmesys, įtraukti asmenys iš projektų, buhalterijos skyrių. Pasirodo tai sena ir žinoma problema, ne visi žino DK darbo laiko reikalavimus, kuriuos turi tenkinti, anot vadovės „taip buvo, yra ir bus“.
2) nėra programos, kuri leistų VULSK vesti suminę darbo laiko apskaitą, apimant visas pareigas (Medka, Rivilė to neatlieka, Eroje funkcionalumas nepilnas ir tik daliai darbuotojų). Planuojama vykdyti naujos sistemos pirkimą, bet ji geriausiu atveju bus nupirkta pasibaigus projektui.

3) prieš teikiant mokėjimo prašymą agentūroms už 9, 10, 11 mėnesius buvo atlikti labai laikui imlūs perskaičiavimai xls ir kur buvo galima perstumdytos valandos taip, kad asmuo nedirbtų projekte tada, kada stebime darbo laiko apskaitos pažeidimai
4) tuo pačiu principu perstumdytos valandos už 2025-12., įtraukiant visus kriterijus, duomenys pateikti buhalterijai.

5) bus siekiama pratęsti projekto trukmę (Gagilas jau pritaria, kad būtų pratęsiama 2 mėn.), kad, jei bus netinkamų išlaidų už ankstesnį periodą + jei kas nespės išnaudoti lėšų dėl dabartinio didelio darbo krūvio, lėšas dar būtų galima panaudoti.",,,,,Danutė (43831156),,2025-12-30T15:37:52.646000Z,,,,,,
task,Onco panelės pirkimas,,,4,2,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"1) Pirkimas inicijuotas, 2) Ecocost nukreipė pirkimą Algimantui, kuris nebedirba, vykdymui. 3) Priminta Alicijai ir komandai 3-ią kartą, įtraukiant direktorių.",,,,,Danutė (43831156),,2025-09-19T06:54:11.700000Z,,,,,,
note,"Po 4-o priminimo 2025-09-19 d. Alicja paskyrė VP specialistę Rasą Stackevičienę vykdyti pirkimą. Pradžioj jai pavesta 1) užbaigti ir paskelbti rinkos konsultacijos dokumentus 2) pirkimą laikyti prioritetiniu; Birutės prašoma atkreipti dėmesį, jei pasikartotų situacija, kai Algimantas paraiškoje nenurodomas kaip vykdytojas, bet jis sistemoje lieka.",,,,,Danutė (43831156),,2025-09-23T09:03:10.847000Z,,,,,,
note,2025-09-23 d. Rasa Stackevičienė pateikė atsakymą atlikus rinkos konsultaciją: [European Dynamics - Rinkos konsultacijos dokumentai](https://viesiejipirkimai.lt/epps/pmc/listPmcContractDocuments.do?resourceId=3622647#),,,,,Danutė (43831156),,2025-09-23T09:04:41.537000Z,,,,,,
note,"Rasa Stackevičienė pateikė klausimus:

1)     Ar bus nustatomi per dideli įkainiai? Ar tik pasiūlymo vertinamoji kaina, t. y. pagal pirkimui skirtų lėšų sumą?

2)     Sutarties reikalavimai: 6-8 punktai: Nurodyti, jog garantinis terminas nustatytas TS.  

3)     Pateikti įkainių perskaičiavimo sąlygas (kai sutartis ilgesnė nei 6 mėn.).

4)     Peržiūrėti TS dėl patikslinimų (pridedama). 

2025-09-24 d. su Gedmante sutarta, kad ji peržiūrės TS ir įvertins siūlomus patikslinimus ar jie nepakeičia esmės, Danutė atsakys į kitus klausimus.",,,,,Danutė (43831156),,2025-09-24T06:48:07.617000Z,,,,,,
note,VP specialistei pateikti Danutės ir Gedmantės atsakymai dėl pirkimo vykdymo,,,,,Danutė (43831156),,2025-09-26T09:31:10.504000Z,,,,,,
note,manau pertekline diskusija su VP specialiste,,,,,Arvydas (43613934),,2025-10-01T06:18:45.830000Z,,,,,,
note,"Posėdžio metu aptarėm, kad minimalūs tiekėjo kvalifikaciniai reikalavimai gali būti labai lakoniški, Aida pakalbės su Gedmante.",,,,,Danutė (43831156),,2025-10-01T09:43:40.747000Z,,,,,,
note,"1) Gedmantė pateikė minimalius tiekėjo kvalifikacinius reikalavimus, ačiū. Info pateikta VP specialistei. 2) VP specialistė ""pataisė"" specifikaciją taip, kad didžioji dalis pirkimo dalių greičiausiai būtų atmestos 3) Pateikta VP specialistei iš naujo pakoreguota specifikacija. Gedmantė jai pritarė. 4) Atnaujinti duomenys pateikti per Ecocost.",,,,,Danutė (43831156),,2025-10-08T06:47:12.725000Z,,,,,,
note,"Pirkimas inicijavimo fazę praėjo (suderinta su VP specialiste, Alicja G), dabar pirkimo vykdymo stadija (rengiami dokumentai)",,,,,Danutė (43831156),,2025-10-13T05:56:05.182000Z,,,,,,
note,"**From:** Rasa Stackevičienė <Rasa.Stackeviciene@santa.lt>
**Sent:** 2025 m. spalio 20 d., pirmadienis 06:09
**To:** [Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt); **Cc:** Arvydas.Laurinavicius@santa.lt; Aida.Laurinaviciene@santa.lt; Gedmante.Radziuviene@santa.lt
Labas rytas, numatomas tarptautinio atviro konkurso pasiūlymų susipažinimas 2025-11-21. Atskiru pranešimu informuosiu atsiunčiant nuorodą į pirkimą. 

**From:** Danutė Užusenienė
**Sent:** 2025 m. spalio 17 d., penktadienis 12:16
**To:** [Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt); Arvydas.Laurinavicius@santa.lt; Aida.Laurinaviciene@santa.lt; Gedmante.Radziuviene@santa.lt
Sveiki, Rasa, Ar galite pasidalinti kaip juda pirkimo 10118 “ Reagentai pažangiems patologijos tyrimams” dokumentacijos rengimo/skelbimo procesas. Minėjote, kad šį pirkimą laikysite prioritetiniu. Šiuo metu neįleidžia manęs sistema į Ecocost, tai nematau kaip juda procesas. Laboratorija norėtų planuotis NKS tyrimų vykdymą, įsivertinti terminus ir personalą, nes šie tyrimai būtų nauji. Tad jūsų info būtų labai aktuali. Ačiū",,,,,Danutė (43831156),,2025-11-06T13:09:08.967000Z,,,,,,
note,"Rasai Stackevičienei yra pateikti atsakymai į jos klausimus: 1) kuris projektas yra skėtinis, kuris MTEP projektas, 2) sutarties vykdymo terminai. Priminta apie skubą, kad laukiame nuorodos į skelbimą.",,,,,Danutė (43831156),,2025-11-06T13:18:20.633000Z,,,,,,
note,Kokia cia proceso eiga (klausimai iki pirkimo skelbimo?) ir kada juos Rasa pateike?,,,,,Aida (43629179),,2025-11-07T06:29:58.193000Z,,,,,,
note,"1\.      UŽKLAUSTA NETIESIOGIAI SPALIO 29 D., TĄ PAČIĄ DIENĄ SPALIO 29 DIENĄ ATSAKYTA:

**From:** Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>
**Sent:** 2025 m. spalio 29 d., trečiadienis 08:31; **To:** [Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)
**Subject:** FW: Dėl pirkimo 10118 duomenų patikslinimo

Labas, Danute, Viešųjų pirkimų skyrius turi klausimų dėl  pirkimo pavadinimo. Labas rytas, Ineta, prašau patikslinki projekto pavadinimą kaip turi būti oficialiai visur nurodomas? Ne vienoje vietoje pirkimo paraiškoje įvairiai nurodoma.  Ar tinkama (?) Reagentai pažangiems patologijos tyrimams 10118\. Pirkimas vykdomas pagal MTEP projektą „Klinikinės multi-omikos platformos, skirtos onkologinių ligų diagnostikai ir pažangios terapijos sprendimams, kūrimas” (ONCOINTEGRA). Projekto Nr. 09-002-P-0002 ??? Dėkoju, Pagarbiai **Rasa Stackevičienė**

**Nuo:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)>
**Išsiųsta:** 2025 m. spalio 29 d., trečiadienis 10:32
**Iki:** Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>; Rasa Stackevičienė <[Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)>
**Tema:** RE: Dėl pirkimo 10118 duomenų patikslinimo

Sveiki, Yra vienas “skėtinis” projektas „Misijomis grįstų mokslo ir inovacijų programų įgyvendinimas"", po kuriuo „telpa“ 7 MTEP projektai ir vienas iš tų 7 MTEP projektų yra MTEP projektas „Klinikinės multi-omikos platformos, skirtos onkologinių ligų diagnostikai ir pažangios terapijos sprendimams, kūrimas” (ONCOINTEGRA).

Jei matysite du skirtingus pavadinimus, jei abu teisingi. **Teisingiausia rašyti:** Pirkimas vykdomas pagal projektą „Misijomis grįstų mokslo ir inovacijų programų įgyvendinimas"" Nr. 02-002-P-0001 ir skirtas paprojekčio „Inovacijos sveikatai“ MTEP projektui „Klinikinės multi-omikos platformos, skirtos onkologinių ligų diagnostikai ir pažangios terapijos sprendimams, kūrimas” (ONCOINTEGRA) įgyvendinti.",,,,,Danutė (43831156),,2025-11-07T07:10:59.445000Z,,,,,,
